id,drug_name,generic_name,drug_class,text,intent,confidence
INTN0001,بانادول,Paracetamol,analgesic,كم حبة بانادول مسموح آخدها في اليوم؟,dosage,0.97
INTN0002,بانادول,Paracetamol,analgesic,هل بانادول بيضر الكلى لو استخدمته كتير؟,contraindication,0.96
INTN0003,بانادول,Paracetamol,analgesic,إيه الأعراض الجانبية الشائعة لبانادول؟,side_effects,0.98
INTN0004,بانادول,Paracetamol,analgesic,هل ينفع آخد بانادول مع أدوية الضغط؟,drug_interaction,0.95
INTN0005,بانادول,Paracetamol,analgesic,بانادول بيعالج إيه بالضبط؟,general_info,0.97
INTN0006,بانادول,Paracetamol,analgesic,سعر علبة بانادول كام دلوقتي؟,price,0.94
INTN0007,بانادول,Paracetamol,analgesic,بانادول موجود في الصيدليات ولا خلص؟,availability,0.93
INTN0008,بروفين,Ibuprofen,nsaid,بروفين بيأثر على المعدة؟,side_effects,0.97
INTN0009,بروفين,Ibuprofen,nsaid,لو عندي قرحة معدة، ينفع بروفين؟,contraindication,0.96
INTN0010,كونكور,Bisoprolol,beta blocker,كم الجرعة اليومية من كونكور؟,dosage,0.98
INTN0011,كونكور,Bisoprolol,beta blocker,كونكور بيخليني تعبان ونعسان، طبيعي؟,side_effects,0.95
INTN0012,كوزار,Losartan,angiotensin receptor blocker,كوزار بيتفاعل مع البروفين؟,drug_interaction,0.96
INTN0013,سنجولار,Montelukast,antiasthmatic,سنجولار ينفع للأطفال؟,contraindication,0.94
INTN0014,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم بيستخدم للحموضة والقرحة؟,general_info,0.97
INTN0015,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين بياخد كام يوم؟,dosage,0.96
INTN0016,ليريكا,Pregabalin,antiepileptic,ليريكا بيسبب زيادة وزن؟,side_effects,0.93
INTN0017,بانادول,Paracetamol,analgesic,فيه تفاعل بين بانادول وأدوية الضغط؟,drug_interaction,0.95
INTN0018,كونكور,Bisoprolol,beta blocker,لو وقفت كونكور فجأة هيحصل إيه؟,contraindication,0.96
