text,normalized_text,intent,drug_entities,generic_name
ليفوثيروكسين يتاخد على الريق صباحًا؟,ينبغي تناول ليفوثيروكسين على معدة فارغة في الصباح,administration,ليفوثيروكسين,Levothyroxine
ينفع آخد ليفوثيروكسين قبل الفطار؟,هل يمكن تناول ليفوثيروكسين قبل الإفطار,administration,ليفوثيروكسين,Levothyroxine
أملوديبين بيسبب صداع في أول استخدام؟,هل يسبب أملوديبين الصداع عند بدء العلاج,side_effects,أملوديبين,Amlodipine
نورفاسك بيسبب تورم في الرجلين؟,هل يسبب نورفاسك تورم في القدمين,side_effects,نورفاسك,Amlodipine
جليمبرايد بيسبب جوع شديد للمرضى؟,هل يسبب جليمبيريد زيادة شديدة في الشعور بالجوع,side_effects,جليمبرايد,Glimepiride
ديابيتون بيخفض السكر زيادة عن اللزوم؟,هل يسبب ديابيتون هبوط حاد في مستوى السكر بالدم,side_effects,ديابيتون,Gliclazide
بانادول ينفع لوجع الضرس وقت الحمل؟,هل يمكن استخدام باراسيتامول لألم الأسنان أثناء الحمل,general_info,بانادول,Paracetamol
كالبول مناسب للرضع من عمر شهرين؟,هل دواء كالبول آمن للاستخدام للرضع بعمر شهرين,contraindication,كالبول,Paracetamol
بروفين ممنوع في الشهور الأخيرة من الحمل؟,هل يحظر استخدام إيبوبروفين في الثلث الثالث من الحمل,contraindication,بروفين,Ibuprofen
أدفيل ينفع مع الرضاعة الطبيعية؟,هل دواء أدفيل آمن أثناء فترة الرضاعة الطبيعية,contraindication,أدفيل,Ibuprofen
كونكور بيقلل ضربات القلب السريعة؟,هل يعمل كونكور على إبطاء سرعة ضربات القلب,general_info,كونكور,Bisoprolol
كوزار بيحمي الكلى لمرضى السكر؟,هل يحمي كوزار الكلى من التلف لدى مرضى السكري,general_info,كوزار,Losartan
هايزار مناسب لمرضى الضغط العالي؟,هل دواء هايزار فعال لمرضى ارتفاع ضغط الدم,general_info,هايزار,Losartan
سنجولار بيمنع نوبات الربو أثناء الليل؟,هل يمنع سنجولار حدوث نوبات الربو الليلية,general_info,سنجولار,Montelukast
ليريكا بيستخدم في علاج ألم الأعصاب؟,هل يستخدم ليريكا لعلاج آلام الأعصاب المزمنة,general_info,ليريكا,Pregabalin
هارنال أفضل وقت ليه قبل النوم؟,ما أفضل وقت لتناول دواء هارنال هل هو قبل النوم,administration,هارنال,Tamsulosin
زيرتيك ينفع للحساسية من الغبرة؟,هل دواء زيرتيك فعال لعلاج حساسية الغبار,general_info,زيرتيك,Cetirizine
نيكسيوم بيعلاج حموضة المعدة والارتجاع؟,هل يعالج نيكسيوم حموضة المعدة والارتجاع المريئي,general_info,نيكسيوم,Esomeprazole
بانازول ينفع لقرحة المعدة؟,هل بانازول مناسب لعلاج قرحة المعدة,general_info,بانازول,Omeprazole
سيبروكسين بيستخدم لإلتهاب المسالك البولية؟,هل يستخدم سيبروكسين في علاج التهابات المسالك البولية,general_info,سيبروكسين,Ciprofloxacin
فلاجيل بيستخدم للجيوب الأنفية؟,هل دواء فلاجيل فعال لعلاج التهاب الجيوب الأنفية,general_info,فلاجيل,Metronidazole
أموكسيل شراب ينفع للأطفال الصغيرين؟,هل دواء أموكسيل شراب مناسب للأطفال الصغار,contraindication,أموكسيل شراب,Amoxicillin
زيثروماكس بياخد 3 أيام بس ويكفي؟,هل مدة علاج الزيثروماكس 3 أيام كافية للشفاء,dosage,زيثروماكس,Azithromycin
أوجمنتين بينفع لكل أنواع الإلتهابات؟,هل دواء أوجمنتين فعال لعلاج جميع أنواع العدوى البكتيرية,general_info,أوجمنتين,Amoxicillin-Clavulanate
فنتولين بخاخ ينفع قبل التمرين الرياضي؟,هل يمكن استخدام بخاخ فنتولين قبل ممارسة الرياضة,administration,فنتولين,Salbutamol
سريتيدي بخاخ للأطفال أقل من 5 سنين؟,هل بخاخ سريتيدي آمن للأطفال دون سن الخامسة,contraindication,سريتيدي,Fluticasone-Salmeterol
سبيريفا جهاز يستخدم مرة واحدة في اليوم؟,هل يستخدم جهاز سبيريفا مرة واحدة يوميًا,administration,سبيريفا,Tiotropium
تليفاست ينفع للحساسية الجلدية؟,هل دواء تليفاست فعال في علاج الحكة والطفح الجلدي الناتج عن الحساسية,general_info,تليفاست,Fexofenadine
أفامايس بخاخ الأنف بيستخدم كام شهر؟,ما هي المدة الآمنة لاستخدام بخاخ أفامايس للأنف,dosage,أفامايس,Fluticasone
ديكساميثازون كريم ينفع للالتهابات الجلدية؟,هل كريم ديكساميثازون مناسب لعلاج التهابات الجلد,general_info,ديكساميثازون,Dexamethasone
بريدنيزولون حبوب بتستخدم كم يوم؟,ما هي مدة استخدام أقراص بريدنيزولون,dosage,بريدنيزولون,Prednisolone
ميثوتريكسات حبوب لمرض الروماتويد؟,هل تستخدم أقراص ميثوتريكسات في علاج الروماتويد,general_info,ميثوتريكسات,Methotrexate
هيدروكسي كلوروكين بيستخدم لمرض الذئبة؟,هل يستخدم دواء هيدروكسي كلوروكين في علاج مرض الذئبة الحمراء,general_info,هيدروكسي كلوروكين,Hydroxychloroquine
سيتريزين نقط ينفع للأطفال الرضع؟,هل نقط سيتريزين آمنة للأطفال الرضع,contraindication,سيتريزين,Cetirizine
لوراتادين شراب جرعته على حسب الوزن ولا السن؟,هل تعتمد جرعة شراب لوراتادين على الوزن أم على العمر,dosage,لوراتادين,Loratadine
أوميبرازول بيتاخد قبل الأكل بنص ساعة؟,هل يجب تناول أوميبرازول قبل الطعام بنصف ساعة,administration,أوميبرازول,Omeprazole
بانتوبرازول بينفع لجرثومة المعدة؟,هل يعالج بانتوبرازول جرثومة المعدة,general_info,بانتوبرازول,Pantoprazole
لانزوبرازول بياخد في الصباح ولا المساء؟,هل يفضل تناول لانزوبرازول في الصباح أم في المساء,administration,لانزوبرازول,Lansoprazole
موتيليوم بيوقف القيء والغثيان بسرعة؟,هل يعمل موتيليوم على إيقاف القيء والغثيان بسرعة,general_info,موتيليوم,Domperidone
بريموبيريد يناسب الحامل للغثيان الصباحي؟,هل دواء بريموبيريد آمن للحامل لعلاج غثيان الصباح,contraindication,بريموبيريد,Metoclopramide
زوفران أقراص بتنفع للغثيان الكيميائي؟,هل أقراص زوفران فعالة للغثيان المصاحب للعلاج الكيميائي,general_info,زوفران,Ondansetron
ايميوم كبسولات بتستخدم للإسهال المسافرين؟,هل تستخدم كبسولات ايميوم لعلاج إسهال المسافرين,general_info,ايميوم,Loperamide
لاكتولوز شراب بينفع للإمساك المزمن؟,هل يعالج شراب لاكتولوز الإمساك المزمن,general_info,لاكتولوز,Lactulose
أورسوفالك بيستخدم لعلاج حصوات المرارة؟,هل يستخدم دواء أورسوفالك لتفتيت حصوات المرارة,general_info,أورسوفالك,Ursodeoxycholic acid
ليجالون كبسولات بتنفع لتليف الكبد؟,هل كبسولات ليجالون مفيدة في علاج تليف الكبد,general_info,ليجالون,Silymarin
أمبروكسول شراب بينظف الصدر من البلغم؟,هل يساعد شراب أمبروكسول على طرد البلغم من الصدر,general_info,أمبروكسول,Ambroxol
أسيتيل سيستيين فوار مينفعش مع مين؟,ما هي الأدوية التي لا يجب تناولها مع أسيتيل سيستيين فوار,interaction,أسيتيل سيستيين,Acetylcysteine
زاناكس أقراص بتستخدم للقلق والتوتر؟,هل أقراص زاناكس لعلاج نوبات القلق والتوتر العصبي,general_info,زاناكس,Alprazolam
ستيلنوكس حبوب منومة بتسبب إدمان؟,هل أقراص ستيلنوكس المنومة قد تسبب الإدمان,side_effects,ستيلنوكس,Zolpidem
تيجريتول أقراص للصرع بتسبب دوخة؟,هل تسبب أقراص تيجريتول المستخدمة للصرع الدوخة,side_effects,تيجريتول,Carbamazepine
لاميكتال أقراص مع أدوية الصرع التانية؟,هل يمكن استخدام لاميكتال مع أدوية الصرع الأخرى,interaction,لاميكتال,Lamotrigine
كيبرا أقراص بتستخدم للصرع الجزئي؟,هل تستخدم أقراص كيبرا لعلاج نوبات الصرع الجزئية,general_info,كيبرا,Levetiracetam
زولوفت أقراص بتحتاج قد إيه عشان تبدأ تظهر نتايجها؟,ما هي المدة اللازمة لظهور تأثير أقراص زولوفت,dosage,زولوفت,Sertraline
سيبرالكس أقراص بتتاخد صباح ولا مساء؟,هل يفضل تناول أقراص سيبرالكس في الصباح أم في المساء,administration,سيبرالكس,Escitalopram
سيروكسات أقراص بتزود الوزن؟,هل تسبب أقراص سيروكسات زيادة في الوزن,side_effects,سيروكسات,Paroxetine
إيفيكسور كبسولات بتسبب صداع؟,هل تسبب كبسولات إيفيكسور الصداع,side_effects,إيفيكسور,Venlafaxine
أميتريبتيلين أقراص بتنفع لآلام الأعصاب؟,هل تستخدم أقراص أميتريبتيلين لعلاج آلام الأعصاب,general_info,أميتريبتيلين,Amitriptyline
ريسبيريدال أقراص بتستخدم ليه؟,لأي غرض تستخدم أقراص ريسبيريدال,general_info,ريسبيريدال,Risperidone
أولانزابين أقراص بتسبب تخن شراهة؟,هل تسبب أقراص أولانزابين زيادة شديدة في الشهية,side_effects,أولانزابين,Olanzapine
كيتيابين أقراص بتساعد على النوم؟,هل تساعد أقراص كيتيابين على النوم,general_info,كيتيابين,Quetiapine
سوماتريبتان أقراص لعلاج الشقيقة؟,هل أقراص سوماتريبتان فعالة لعلاج نوبات الصداع النصفي,general_info,سوماتريبتان,Sumatriptan
ديفلوكان كبسولة جرعة واحدة تكفي للفطريات؟,هل جرعة واحدة من كبسولة ديفلوكان كافية لعلاج الفطريات,dosage,ديفلوكان,Fluconazole
كانستن كريم دهان بينفع للحكة الجلدية؟,هل كريم كانستن مفيد لعلاج الحكة الجلدية,general_info,كانستن,Clotrimazole
إيتراكونازول كبسولات بتستخدم قد إيه؟,ما هي مدة استخدام كبسولات إيتراكونازول,dosage,إيتراكونازول,Itraconazole
تيربينافين أقراص بتستخدم لفطريات الأظافر؟,هل تستخدم أقراص تيربينافين لعلاج فطريات الأظافر,general_info,تيربينافين,Terbinafine
نيستاتين شراب ينفع للفطريات بالفم للأطفال؟,هل شراب نيستاتين مناسب لعلاج فطريات الفم للأطفال,general_info,نيستاتين,Nystatin
كيتوكونازول كريم بينفع للقشرة؟,هل كريم كيتوكونازول فعال لعلاج قشرة الشعر,general_info,كيتوكونازول,Ketoconazole
بيلاراين نقط لعلاج الديدان للأطفال؟,هل نقط بيلاراين لعلاج الديدان عند الأطفال,general_info,بيلاراين,Pyrantel
فيرموكس أقراص لعلاج الديدان والإسهال؟,هل تستخدم أقراص فيرموكس لعلاج الديدان والإسهال المصاحب لها,general_info,فيرموكس,Mebendazole
زينتيل أقراص لعلاج الديدان الشريطية؟,هل أقراص زينتيل فعالة لعلاج الديدان الشريطية,general_info,زينتيل,Albendazole
سبرامبك أقراص لعلاج الديدان الخطافية؟,هل أقراص سبرامبك فعالة لعلاج الديدان الخطافية,general_info,سبرامبك,Pyrantel
إيفرمكتين أقراص لعلاج الجرب؟,هل تستخدم أقراص إيفرمكتين في علاج الجرب,general_info,إيفرمكتين,Ivermectin
أسبيكور أقراص لعلاج الديدان الخيطية؟,هل أقراص أسبيكور فعالة لعلاج الديدان الخيطية,general_info,أسبيكور,Ivermectin
ليبيتور أقراص بتخفض الكولسترول الضار؟,هل تقلل أقراص ليبيتور من مستوى الكولسترول الضار,general_info,ليبيتور,Atorvastatin
كريستور أقراص بتخفض الدهون الثلاثية؟,هل تعمل أقراص كريستور على خفض الدهون الثلاثية,general_info,كريستور,Rosuvastatin
زوكور أقراص بتتاخد بالليل ليه؟,لماذا يفضل تناول أقراص زوكور في المساء,administration,زوكور,Simvastatin
إيزيتيمايب أقراص بتخفض الكولسترول من الأكل؟,هل تقلل أقراص إيزيتيمايب من امتصاص الكولسترول من الطعام,general_info,إيزيتيمايب,Ezetimibe
فينوفايبرات أقراص بتنفع للدهون الثلاثية؟,هل أقراص فينوفايبرات فعالة لعلاج ارتفاع الدهون الثلاثية,general_info,فينوفايبرات,Fenofibrate
أوميجا 3 كبسولات بتخفض الكولسترول الحلو؟,هل تساعد كبسولات أوميجا 3 على رفع الكولسترول الجيد في الدم,general_info,أوميجا 3,Omega-3 fatty acids
نيوروبيون أقراص فيتامين B المركب بتزود الطاقة؟,هل تزيد أقراص نيوروبيون من الطاقة وتقلل الإرهاق,general_info,نيوروبيون,Vitamin B complex
فيتامين دي 50000 كبسولة جرعتها مرة في الأسبوع؟,هل جرعة كبسولة فيتامين دي 50000 مرة واحدة أسبوعيًا,dosage,فيتامين دي 50000,Cholecalciferol
كالسيوم ساندوز أقراص فوارة لعلاج نقص الكالسيوم؟,هل أقراص كالسيوم ساندوز الفوارة لعلاج نقص الكالسيوم,general_info,كالسيوم ساندوز,Calcium carbonate
فيروجلوبين شراب لعلاج الأنيميا للحوامل؟,هل شراب فيروجلوبين مناسب لعلاج الأنيميا للحوامل,general_info,فيروجلوبين,Iron-Vitamin B complex
فولفيت أقراص بتستخدم للحامل منعًا للتشوهات؟,هل تستخدم أقراص فولفيت للحامل للوقاية من تشوهات الجنين,general_info,فولفيت,Folic acid
بيديابروفين شراب للأطفال للحرارة؟,هل شراب بيديابروفين آمن للأطفال لخفض الحرارة,general_info,بيديابروفين,Ibuprofen
بيدياليت أكياس لتعويض السوائل للأطفال المصابين بالإسهال؟,هل أكياس بيدياليت لتعويض السوائل المفقودة بسبب الإسهال عند الأطفال,general_info,بيدياليت,ORS
سنجولار أطفال مضغ لعلاج أزيز الصدر الربوي؟,هل أقراص سنجولار للأطفال فعالة لعلاج أزيز الصدر المصاحب للربو,general_info,سنجولار أطفال,Montelukast
فاستوم جيل دهان موضعي لعلاج آلام المفاصل؟,هل جل فاستوم الموضعي فعال لعلاج آلام المفاصل,general_info,فاستوم جيل,Ketoprofen
فوساماكس أقراص لعلاج هشاشة العظام مرة بالأسبوع؟,هل أقراص فوساماكس لعلاج هشاشة العظام تؤخذ مرة أسبوعيًا,dosage,فوساماكس,Alendronate
إكساليف نقط للعين لعلاج الجلوكوما؟,هل نقط إكساليف لعلاج ارتفاع ضغط العين والجلوكوما,general_info,إكساليف,Latanoprost
كوزوبت نقط لعلاج المياه الزرقاء في العين؟,هل نقط كوزوبت فعالة لعلاج المياه الزرقاء,general_info,كوزوبت,Dorzolamide-Timolol
