raw_text,normalized_text,intent,drug_entities
هل باراسيتامول مناسب لمرضى السكر؟,هل Paracetamol مناسب لمرضى السكر؟,contraindication,Paracetamol
ايه اعراض بروفين الجانبية؟,ما هي اعراض Brufen الجانبية؟,side_effects,Brufen
زيرتك بيعمل نعاس؟,Zyrtec يسبب نعاس؟,side_effects,Zyrtec
هل الجمع بين بنادول و كتافلام خطر؟,هل الجمع بين Panadol و Cataflam خطر؟,interaction,Panadol|Cataflam
مين ممنوع ياخد اموكسيسيلين؟,مين ممنوع يأتناول Amoxicillin؟,contraindication,Amoxicillin
هل كونجستال يتاخد مع اموكسيسيلين؟,هل Congestal يتم تناوله مع Amoxicillin؟,interaction,Congestal|Amoxicillin
جرعة اسبرين للاطفال كام؟,جرعة Aspirin للاطفال ما؟,dosage,Aspirin
ينفع اخد جرعة من بنادول؟,هل يمكن أتناول جرعة من Panadol؟,dosage,Panadol
هل زيرتك يسبب صداع؟,هل Zyrtec يسبب صداع؟,side_effects,Zyrtec
ينفع الحامل تاخد اوجمنتين؟,هل يمكن الحامل تأتناول Augmentin؟,contraindication,Augmentin
اقدر اخد باراسيتامول و اموكسيسيلين مع بعض؟,اقدر أتناول Paracetamol و Amoxicillin مع بعض؟,interaction,Paracetamol|Amoxicillin
اخد بنادول كام مرة في اليوم؟,أتناول Panadol ما مرة في اليوم؟,dosage,Panadol
مين ممنوع ياخد بنادول؟,مين ممنوع يأتناول Panadol؟,contraindication,Panadol
هل اموكسيسيلين خطر على الكلى؟,هل Amoxicillin خطر على الكلى؟,contraindication,Amoxicillin
ينفع الحامل تاخد كتافلام؟,هل يمكن الحامل تأتناول Cataflam؟,contraindication,Cataflam
في تفاعل بين باراسيتامول و كونجستال؟,في تفاعل بين Paracetamol و Congestal؟,interaction,Paracetamol|Congestal
هل كونجستال يسبب صداع؟,هل Congestal يسبب صداع؟,side_effects,Congestal
هل باراسيتامول خطر على الكلى؟,هل Paracetamol خطر على الكلى؟,contraindication,Paracetamol
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
ينفع اخد جرعة من اوجمنتين؟,هل يمكن أتناول جرعة من Augmentin؟,dosage,Augmentin
هل الجمع بين اوجمنتين و بنادول خطر؟,هل الجمع بين Augmentin و Panadol خطر؟,interaction,Augmentin|Panadol
هل باراسيتامول مناسب لمرضى السكر؟,هل Paracetamol مناسب لمرضى السكر؟,contraindication,Paracetamol
جرعة كتافلام للاطفال كام؟,جرعة Cataflam للاطفال ما؟,dosage,Cataflam
فلاجيل بيعمل نعاس؟,Flagyl يسبب نعاس؟,side_effects,Flagyl
بعد ما اخدت كونجستال حسيت بتعب,بعد ما أتناولت Congestal حسيت بتعب,side_effects,Congestal
جرعة اسبرين للاطفال كام؟,جرعة Aspirin للاطفال ما؟,dosage,Aspirin
ينفع الحامل تاخد فلاجيل؟,هل يمكن الحامل تأتناول Flagyl؟,contraindication,Flagyl
هل الجمع بين باراسيتامول و اوجمنتين خطر؟,هل الجمع بين Paracetamol و Augmentin خطر؟,interaction,Paracetamol|Augmentin
ينفع اخد كونجستال مع بنادول؟,هل يمكن أتناول Congestal مع Panadol؟,interaction,Congestal|Panadol
ايه اعراض اموكسيسيلين الجانبية؟,ما هي اعراض Amoxicillin الجانبية؟,side_effects,Amoxicillin
بروفين بيعمل نعاس؟,Brufen يسبب نعاس؟,side_effects,Brufen
الجرعة كام ل اموكسيسيلين؟,الجرعة ما ل Amoxicillin؟,dosage,Amoxicillin
هل بروفين مناسب لمرضى السكر؟,هل Brufen مناسب لمرضى السكر؟,contraindication,Brufen
طريقة استخدام باراسيتامول ايه؟,طريقة استخدام Paracetamol ما هي؟,dosage,Paracetamol
هل الجمع بين زيرتك و فلاجيل خطر؟,هل الجمع بين Zyrtec و Flagyl خطر؟,interaction,Zyrtec|Flagyl
ينفع الحامل تاخد زيرتك؟,هل يمكن الحامل تأتناول Zyrtec؟,contraindication,Zyrtec
بنادول ممكن يسبب دوخة؟,Panadol ممكن يسبب دوخة؟,side_effects,Panadol
ينفع الحامل تاخد بروفين؟,هل يمكن الحامل تأتناول Brufen؟,contraindication,Brufen
هل الجمع بين اوجمنتين و كتافلام خطر؟,هل الجمع بين Augmentin و Cataflam خطر؟,interaction,Augmentin|Cataflam
هل بنادول خطر على الكلى؟,هل Panadol خطر على الكلى؟,contraindication,Panadol
ايه اعراض بنادول الجانبية؟,ما هي اعراض Panadol الجانبية؟,side_effects,Panadol
ينفع اخد باراسيتامول مع بنادول؟,هل يمكن أتناول Paracetamol مع Panadol؟,interaction,Paracetamol|Panadol
طريقة استخدام اسبرين ايه؟,طريقة استخدام Aspirin ما هي؟,dosage,Aspirin
جرعة بروفين للاطفال كام؟,جرعة Brufen للاطفال ما؟,dosage,Brufen
