raw_text,normalized_text,intent,drug_entities
هل Panadol خطر على القلب؟ ضروري,هل Panadol خطر على القلب؟ ضروري,contraindication,Panadol
جرعة الاسبرين للبالغين كام؟ ممكن تساعدني,جرعة الAspirin للبالغين ما؟ ممكن تساعدني,dosage,Aspirin
هل اخد Brufen الصبح ولا بالليل؟ من فضلك,هل أتناول Brufen الصبح ولا بالليل؟ من فضلك,dosage,Brufen
هل اموكسيسيلين و كتافلام ينفعوا مع بعض؟ ضروري جدًا,هل Amoxicillin و Cataflam هل يمكنوا مع بعض؟ ضروري جدًا,interaction,Amoxicillin|Cataflam
هل Paracetamol مناسب لمرضى السكر؟ ضروري,هل Paracetamol مناسب لمرضى السكر؟ ضروري,contraindication,Paracetamol
هل الجمع بين Paracetamol و كونجستول خطر؟ عشان تعبان,هل الجمع بين Paracetamol و Congestal خطر؟ عشان تعبان,interaction,Paracetamol|Congestal
هل Brufen ممكن يسبب حساسية في الجلد؟ ضروري,هل Brufen ممكن يسبب حساسية في الجلد؟ ضروري,side_effects,Brufen
استعمال البروفين كام مرة يوميا؟ عشان تعبان,استعمال الBrufen ما مرة يوميا؟ عشان تعبان,dosage,Brufen
لو نسيت جرعة كونجستول اعمل ايه؟ من فضلك,لو نسيت جرعة Congestal اعمل ما هي؟ من فضلك,dosage,Congestal
هل Amoxicillin خطر على الكلى؟ من فضلك,هل Amoxicillin خطر على الكلى؟ من فضلك,contraindication,Amoxicillin
اخدت Paracetamol وحاسس بتعب بجد,تناولت Paracetamol وحاسس بتعب بجد,side_effects,Paracetamol
هل اوجمنتين مناسب للأطفال؟ من فضلك,هل Augmentin مناسب للأطفال؟ من فضلك,contraindication,Augmentin
هل في تعارض بين الاسبرين و كونجستول؟ بجد,هل في تعارض بين الAspirin و Congestal؟ بجد,interaction,Aspirin|Congestal
لو عندي فشل كلوي ينفع كتافلام؟ ضروري جدًا,لو عندي فشل كلوي هل يمكن Cataflam؟ ضروري جدًا,contraindication,Cataflam
هل Brufen ممكن يسبب حساسية في الجلد؟ ممكن تساعدني,هل Brufen ممكن يسبب حساسية في الجلد؟ ممكن تساعدني,side_effects,Brufen
انا باخد Zyrtec ينفع اضيف عليه Cataflam؟ عايز رد سريع,انا أتناول Zyrtec هل يمكن اضيف عليه Cataflam؟ عايز رد سريع,interaction,Zyrtec|Cataflam
هل الاسبرين يتاخد مع علاج تاني زي Cataflam؟ بجد,هل الAspirin يتم تناوله مع علاج تاني زي Cataflam؟ بجد,interaction,Aspirin|Cataflam
هل اخد Zyrtec الصبح ولا بالليل؟ لو سمحت,هل أتناول Zyrtec الصبح ولا بالليل؟ لو سمحت,dosage,Zyrtec
لو خدت Flagyl وبعده بنادوول يحصل مشكلة؟ ضروري,لو خدت Flagyl وبعده Panadol يحصل مشكلة؟ ضروري,interaction,Flagyl|Panadol
هل Zyrtec خطر لمرضى الضغط؟ لو تكرمت,هل Zyrtec خطر لمرضى الضغط؟ لو تكرمت,contraindication,Zyrtec
في تفاعل بين كونجستال و Brufen؟ من فضلك,في تفاعل بين Congestal و Brufen؟ من فضلك,interaction,Congestal|Brufen
هل بنادول خطر على القلب؟ لو تكرمت,هل Panadol خطر على القلب؟ لو تكرمت,contraindication,Panadol
ممكن تقوللي جرعة Amoxicillin الصح؟ بعد إذنك,ممكن تقوللي جرعة Amoxicillin الصح؟ بعد إذنك,dosage,Amoxicillin
ممكن اعرف جرعة Flagyl محتاج أعرف,ممكن اعرف جرعة Flagyl محتاج أعرف,dosage,Flagyl
انا اخدت Aspirin وحاسس بخمول من فضلك,انا تناولت Aspirin وحاسس بخمول من فضلك,side_effects,Aspirin
لو خدت اوجمنتين وبعده زيرتك يحصل مشكلة؟ رد بسرعة,لو خدت Augmentin وبعده Zyrtec يحصل مشكلة؟ رد بسرعة,interaction,Augmentin|Zyrtec
هل البروفين يوجع المعدة؟ ممكن تساعدني,هل الBrufen يوجع المعدة؟ ممكن تساعدني,side_effects,Brufen
هل كتافلام يسبب صداع؟ يا دكتور,هل Cataflam يسبب صداع؟ يا دكتور,side_effects,Cataflam
هل Aspirin ينفع لمريض سكر وضغط؟ محتاج أعرف,هل Aspirin هل يمكن لمريض سكر وضغط؟ محتاج أعرف,contraindication,Aspirin
هل كتافلام مناسب للأطفال؟ محتاج أعرف,هل Cataflam مناسب للأطفال؟ محتاج أعرف,contraindication,Cataflam
جرعة Panadol المناسبة ايه؟ رد بسرعة,جرعة Panadol المناسبة ما هي؟ رد بسرعة,dosage,Panadol
